Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22172013,Sońka,Ignacy Karpowicz,"Karpowicz, Ignacy",,"=""830805353X""","=""9788308053539""",0,4.11,Wydawnictwo Literackie,Hardcover,208,2014,2014,,2023/08/16,to-read,to-read (#79),to-read,,,,0,0
5111318,Gottland,Mariusz Szczygieł,"Szczygieł, Mariusz",,"=""8389755629""","=""9788389755629""",4,4.31,Czarne,Paperback,232,2008,2006,2023/08/15,2022/07/23,home-library,home-library (#167),read,,,,1,0
2645265,Paw królowej,Dorota Masłowska,"Masłowska, Dorota",Maciej Sieńczyk,"=""8389603209""","=""9798389603202""",4,3.50,Wydawnictwo Lampa i Iskra Boża,Paperback,156,2005,2005,2023/08/13,2022/09/10,,,read,,,,1,0
6466719,Lektor,Bernhard Schlink,"Schlink, Bernhard",Karolina Niedenthal,"=""""","=""9788374956541""",0,3.78,Muza,Hardcover,168,2009,1995,,2023/08/11,to-read,to-read (#78),to-read,,,,0,0
43381162,Kosmiczne rozterki,Neil deGrasse Tyson,"Tyson, Neil deGrasse",Jacek Bieroń,"=""8366360466""","=""9788366360464""",0,4.07,Insignis,Hardcover,350,2019,2006,,2023/02/23,"home-library, waiting-to-be-read, bought-in-2023","home-library (#204), waiting-to-be-read (#27), bought-in-2023 (#10)",waiting-to-be-read,,,,0,0
18743631,Ziemiomorze,Ursula K. Le Guin,"Guin, Ursula K. Le","Stanisław Barańczak, Piotr W. Cholewa, Paulina Braiter-Ziemkiewicz","=""8378396657""","=""9788378396659""",5,4.46,Prószyński i S-ka,Hardcover,944,2013,2018,2023/02/23,2023/02/23,bought-in-2023,bought-in-2023 (#9),read,,,,1,0
38243745,Hrabia Monte Christo. Część 2,Alexandre Dumas,"Dumas, Alexandre",Klemens Łukasiewicz,"=""837779330X""","=""9788377793305""",5,4.59,Wydawnictwo MG,Hardcover,624,2017,1844,2023/02/03,2023/01/05,"home-library, bought-in-2023","home-library (#203), bought-in-2023 (#8)",read,,,,1,0
35037522,Hrabia Monte Christo. Część 1,Alexandre Dumas,"Dumas, Alexandre",Klemens Łukasiewicz,"=""8377793180""","=""9788377793183""",5,4.52,Wydawnictwo MG,Hardcover,704,2017,1844,2023/01/19,2023/01/01,"home-library, bought-in-2023","home-library (#202), bought-in-2023 (#7)",read,,,,1,0
41181644,"Śmierć Komandora. Pojawia się idea (Śmierć Komandora, #1)",Haruki Murakami,"Murakami, Haruki",Anna Zielińska-Elliott,"=""8328710455""","=""9788328710450""",4,4.06,MUZA S.A.,Hardcover,480,2018,2017,2023/07/29,2022/07/23,home-library,home-library (#191),read,,,,1,0
41197323,"Śmierć Komandora. Metafora się zmienia (Śmierć Komandora, #2)",Haruki Murakami,"Murakami, Haruki",Anna Zielińska-Elliott,"=""8328710900""","=""9788328710900""",5,3.94,MUZA S.A.,Hardcover,480,2018,2017,2023/08/10,2022/07/23,home-library,home-library (#184),read,,,,1,0
45285778,Zew Cthulhu,H.P. Lovecraft,"Lovecraft, H.P.",Maciej Płaza,"=""""","=""""",0,4.17,,,,,,,2023/08/09,"waiting-to-be-read, bought-in-2023, home-library","waiting-to-be-read (#31), bought-in-2023 (#5), home-library (#209)",waiting-to-be-read,,,,0,0
11436403,Blade Runner. Czy androidy marzą o elektrycznych owcach?,Philip K. Dick,"Dick, Philip K.","Sławomir Kędzierski, Lech Jęczmyk, Wojciech Siudmak","=""8375101311""","=""9788375101317""",0,4.09,Dom Wydawniczy Rebis,Hardcover,271,2011,1968,,2022/07/26,"bought-in-2023, home-library, waiting-to-be-read","bought-in-2023 (#4), home-library (#208), waiting-to-be-read (#30)",waiting-to-be-read,,,,0,0
34600598,"Problem trzech ciał (Wspomnienie o przeszłości Ziemi, #1)",Liu Cixin,"Cixin, Liu",Andrzej Jankowski,"=""""","=""9788380627987""",5,4.09,Dom Wydawniczy Rebis,ebook,456,2017,2006,2023/06/30,2023/06/26,"bought-in-2023, home-library","bought-in-2023 (#3), home-library (#207)",read,,,,1,0
